game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400489913,2014,03/23/2014,ATL,0,31,37,0,TOR,96,ATL,86,TOR,1,0,1,TOR,1,0,1,TOR,1,0,1,TOR,1,0,1,39.0,28.0,41.2641025469,52.0,24.0,42.4297787829,39.0,28.0,24.5682129915,52.0,24.0,74.0110063786
400489921,2014,03/24/2014,ATL,0,31,38,1,ATL,95,PHX,102,PHX,1,0,1,PHX,1,0,1,PHX,1,0,1,PHX,1,0,1,43.0,28.0,20.8851325105,41.0,8.0,41.8979548366,43.0,28.0,37.7275119866,41.0,8.0,56.208485191
400489938,2014,03/26/2014,ATL,0,31,39,0,MIN,107,ATL,83,ATL,0,1,0,MIN,1,0,1,ATL,0,1,0,ATL,0,1,0,39.0,28.0,34.2695683239,28.0,21.0,18.042679164,39.0,28.0,48.9420378478,28.0,21.0,30.0045926864
400489944,2014,03/27/2014,ATL,0,31,40,1,ATL,85,POR,100,POR,1,0,1,POR,1,0,1,POR,1,0,1,ATL,0,1,0,43.0,28.0,44.6980502126,47.0,4.0,47.9328330616,43.0,28.0,68.7180276202,47.0,4.0,47.664988495
400489962,2014,03/29/2014,ATL,0,31,41,0,WSH,101,ATL,97,WSH,1,0,1,WSH,1,0,1,WSH,1,0,1,ATL,0,1,0,39.0,28.0,9.07690574975,52.0,14.0,37.7474184324,39.0,28.0,37.530977275,52.0,14.0,18.3590441193
400489976,2014,03/31/2014,ATL,1,32,41,1,ATL,103,PHI,95,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,70.1210384532,14.0,5.0,8.05476733786,43.0,28.0,58.9429960845,14.0,5.0,18.0762885424
400489993,2014,04/02/2014,ATL,0,32,42,1,ATL,92,CHI,105,CHI,1,0,1,CHI,1,0,1,CHI,1,0,1,CHI,1,0,1,43.0,28.0,20.187204584,54.0,10.0,47.5240045901,43.0,28.0,48.1390904809,54.0,10.0,62.5201531313
400490005,2014,04/04/2014,ATL,1,33,42,1,ATL,117,CLE,98,CLE,0,0,1,ATL,1,1,0,CLE,0,0,1,CLE,0,0,1,43.0,28.0,19.1496451714,57.0,9.0,40.8169840539,43.0,28.0,-2.14774411699,57.0,9.0,59.0250967455
400490025,2014,04/06/2014,ATL,1,34,42,0,IND,88,ATL,107,ATL,1,1,0,IND,0,0,1,ATL,1,1,0,IND,0,0,1,39.0,28.0,43.5649715722,35.0,1.0,35.5997503659,39.0,28.0,8.8513734065,35.0,1.0,36.2617397618
400532894,2014,04/08/2014,ATL,0,34,43,1,ATL,95,DET,102,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,ATL,0,1,0,43.0,28.0,56.69379586,35.0,22.0,39.5041045757,43.0,28.0,51.7241605707,35.0,22.0,13.6704945184
400490039,2014,04/09/2014,ATL,1,35,43,1,ATL,105,BOS,97,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,BOS,0,0,1,43.0,28.0,73.3690534587,25.0,27.0,24.7742280037,43.0,28.0,14.9590092647,25.0,27.0,32.7818259782
400490052,2014,04/11/2014,ATL,1,36,43,0,BKN,88,ATL,93,BKN,0,0,1,BKN,0,0,1,ATL,1,1,0,ATL,1,1,0,39.0,28.0,37.2848557384,44.0,16.0,23.6883748039,39.0,28.0,77.8492213125,44.0,16.0,33.6987279167
400490065,2014,04/12/2014,ATL,1,37,43,1,ATL,98,MIA,85,MIA,0,0,1,MIA,0,0,1,MIA,0,0,1,ATL,1,1,0,43.0,28.0,56.1735100123,42.0,19.0,71.7006437691,43.0,28.0,101.121126795,42.0,19.0,57.0763028136
400490080,2014,04/14/2014,ATL,0,37,44,1,ATL,93,CHA,95,CHA,1,0,1,CHA,1,0,1,CHA,1,0,1,ATL,0,1,0,43.0,28.0,11.9621102756,44.0,17.0,22.487451603,43.0,28.0,49.903171394,44.0,17.0,48.1427952607
400490090,2014,04/16/2014,ATL,1,38,44,0,MIL,103,ATL,111,ATL,1,1,0,ATL,1,1,0,MIL,0,0,1,MIL,0,0,1,39.0,28.0,18.3113815509,27.0,3.0,27.0776345624,39.0,28.0,23.0829069217,27.0,3.0,28.3302837713
400488879,2014,10/30/2013,BOS,0,0,1,0,TOR,93,BOS,87,TOR,1,0,1,TOR,1,0,1,TOR,1,0,1,TOR,1,0,1,25.0,27.0,-25.1376681333,52.0,24.0,31.0556716851,25.0,27.0,8.110628932,52.0,24.0,47.9218279998
400488897,2014,11/01/2013,BOS,0,0,2,1,BOS,98,MIL,105,BOS,0,1,0,MIL,1,0,1,BOS,0,1,0,BOS,0,1,0,29.0,27.0,34.1881110291,23.0,3.0,23.8989820506,29.0,27.0,61.9656027359,23.0,3.0,23.1646242428
400488914,2014,11/03/2013,BOS,0,0,3,0,DET,87,BOS,77,DET,1,0,1,DET,1,0,1,DET,1,0,1,BOS,0,1,0,25.0,27.0,37.984279019,39.0,22.0,38.3797060735,25.0,27.0,67.9879366979,39.0,22.0,18.8865952695
400488922,2014,11/04/2013,BOS,0,0,4,0,MEM,95,BOS,88,MEM,1,0,1,MEM,1,0,1,BOS,0,1,0,MEM,1,0,1,25.0,27.0,73.3617724041,51.0,12.0,55.7614895366,25.0,27.0,-1.83955554877,51.0,12.0,56.6947068323
400488937,2014,11/06/2013,BOS,1,1,4,1,BOS,97,UTAH,87,BOS,1,1,0,BOS,1,1,0,BOS,1,1,0,UTAH,0,0,1,29.0,27.0,33.1790914222,24.0,13.0,16.2690166089,29.0,27.0,15.6663732397,24.0,13.0,33.8418768381
400488948,2014,11/08/2013,BOS,1,2,4,0,ORL,89,BOS,91,ORL,0,0,1,ORL,0,0,1,ORL,0,0,1,ORL,0,0,1,25.0,27.0,19.9548133183,31.0,15.0,39.0591852729,25.0,27.0,-20.0008578052,31.0,15.0,38.3313137248
